place_id,place_name,city,state,source_url,final_resolved_url,http_status,page_title,source_quality,validation_result,audit_note
"taj-mahal","Taj Mahal","Agra","Uttar Pradesh","https://whc.unesco.org/en/list/252/","https://whc.unesco.org/en/list/252/",200,"Taj Mahal - UNESCO World Heritage Centre","place_specific","PASSED","Verified live HTTP 200 on 2026-09-10. Title: ""Taj Mahal - UNESCO World Heritage Centre"""
"fatehpur-sikri","Fatehpur Sikri City of Victory","agra-district","Uttar Pradesh","https://whc.unesco.org/en/list/255/","https://whc.unesco.org/en/list/255/",200,"Fatehpur Sikri - UNESCO World Heritage Centre","place_specific","PASSED","Verified live HTTP 200 on 2026-09-10. Title: ""Fatehpur Sikri - UNESCO World Heritage Centre"""
"qutub-minar","Qutub Minar & Complex","new-delhi","delhi-nct-","https://whc.unesco.org/en/list/233/","https://whc.unesco.org/en/list/233/",200,"Qutb Minar and its Monuments, Delhi - UNESCO World Heritage Centre","place_specific","PASSED","Verified live HTTP 200 on 2026-09-10. Title: ""Qutb Minar and its Monuments, Delhi - UNESCO World Heritage Centre"""
"red-fort","Red Fort (Lal Qila)","old-delhi","delhi-nct-","https://whc.unesco.org/en/list/231/","https://whc.unesco.org/en/list/231/",200,"Red Fort Complex - UNESCO World Heritage Centre","place_specific","PASSED","Verified live HTTP 200 on 2026-09-10. Title: ""Red Fort Complex - UNESCO World Heritage Centre"""
"humayuns-tomb","Humayun's Tomb","new-delhi","delhi-nct-","https://whc.unesco.org/en/list/232/","https://whc.unesco.org/en/list/232/",200,"Humayun's Tomb, Delhi - UNESCO World Heritage Centre","place_specific","PASSED","Verified live HTTP 200 on 2026-09-10. Title: ""Humayun's Tomb, Delhi - UNESCO World Heritage Centre"""
"golden-temple-amritsar","Sri Harmandir Sahib (The Golden Temple)","Amritsar","Punjab","https://punjabtourism.punjab.gov.in/destination/amritsar","https://punjabtourism.punjab.gov.in/en/destination/amritsar/",404,"Punjab Tourism | Government of Punjab","place_specific","FAILED","[Live Audit Failed 2026-09-10] HTTP 404 (Not Found)"
"kalka-shimla-railway","Kalka-Shimla Mountain Railway","Shimla","Himachal Pradesh","https://whc.unesco.org/en/list/944/","https://whc.unesco.org/en/list/944/",200,"Mountain Railways of India - UNESCO World Heritage Centre","place_specific","PASSED","Verified live HTTP 200 on 2026-09-10. Title: ""Mountain Railways of India - UNESCO World Heritage Centre"""
"amber-fort","Amber Fort & Palace (Amer)","Jaipur","Rajasthan","https://whc.unesco.org/en/list/247/","https://whc.unesco.org/en/list/247/",200,"Hill Forts of Rajasthan - UNESCO World Heritage Centre","place_specific","PASSED","Verified live HTTP 200 on 2026-09-10. Title: ""Hill Forts of Rajasthan - UNESCO World Heritage Centre"""
"hawa-mahal","Hawa Mahal (Palace of Winds)","Jaipur","Rajasthan","https://www.tourism.rajasthan.gov.in/jaipur.html","https://www.tourism.rajasthan.gov.in/jaipur.html",200,"Jaipur Tourism: Places to Visit, Sightseeing, Trip to Jaipur- Rajasthan Tourism","place_specific","PASSED","Verified live HTTP 200 on 2026-09-10. Title: ""Jaipur Tourism: Places to Visit, Sightseeing, Trip to Jaipur- Rajasthan Tourism"""
"jaisalmer-fort","Jaisalmer Fort (Sonar Qila / Golden Fort)","jaisalmer","Rajasthan","https://whc.unesco.org/en/list/247/","https://whc.unesco.org/en/list/247/",200,"Hill Forts of Rajasthan - UNESCO World Heritage Centre","place_specific","PASSED","Verified live HTTP 200 on 2026-09-10. Title: ""Hill Forts of Rajasthan - UNESCO World Heritage Centre"""
